date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:14	20199/20199	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202020%2012:39:06%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_350609716-e1584255478462-375x325.jpg	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_350609716-e1584255478462-375x325.jpg	(from http://smartdemowp.com/dinso/home-4/?skin_color=blue&&header_type=3)
10:39:15	2769/2769	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Sep%202020%2008:37:05%20GMT	http://smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/js/jQuery.style.switcher.min.js?ver=1606971785	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/js/jQuery.style.switcher.min9b5d.js	(from http://smartdemowp.com/dinso/home-4/?skin_color=blue&&header_type=3)
10:39:17	21281/21281	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202020%2012:39:07%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_259177367-375x325.jpg	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_259177367-375x325.jpg	(from http://smartdemowp.com/dinso/home-4/?skin_color=blue&&header_type=3)
10:39:17	60232/60232	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Dec%202020%2005:09:15%20GMT	http://smartdemowp.com/dinso/many-important-brands-have-given-us-their-trust-4/	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/many-important-brands-have-given-us-their-trust-4/index.html	(from http://smartdemowp.com/dinso/home-4/?skin_color=blue&&header_type=3)
10:39:18	655/655	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Sep%202020%2008:37:05%20GMT	http://smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/js/switcher.js?ver=1606971785	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/js/switcher9b5d.js	(from http://smartdemowp.com/dinso/home-4/?skin_color=blue&&header_type=3)
10:39:18	18176/18176	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2008:51:00%20GMT	http://smartdemowp.com/dinso/wp-content/themes/dinso/assets/css/color.css?ver=1606971788	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/themes/dinso/assets/css/color162a.css	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:18	0/0	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2008:37:05%20GMT	http://smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/css/color/theme-color.css?ver=1606971788	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/css/color/theme-color162a.css	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:18	3343/3343	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2008:37:05%20GMT	http://smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/css/switcher-style.css?ver=1606971788	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/css/switcher-style162a.css	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:19	4937/4937	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2004:44:51%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/elementor/css/post-621.css?ver=1600145091	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/elementor/css/post-62104c7.css	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:20	131061/131061	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2008:51:00%20GMT	http://smartdemowp.com/dinso/wp-content/themes/dinso/style.css?ver=1606971788	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/themes/dinso/style162a.css	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
